id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,xaxis,yaxis,n,own,coli
27611,One Bedroom Studio Garden Apartment,119381,Gordon And Alexandra,,Jamaica Plain,42.31556512,-71.11482701,Entire home/apt,185,3,15,9/4/18,0.29,1,346,23,1,1,0,1
28150,[1277/1] 1BR on Beacon St- Back Bay,25188,Seamless,,Back Bay,42.35397478,-71.07261174,Entire home/apt,184,2,21,6/24/16,0.25,24,355,24,1,24,1,1
29765,"Luxury suite, Moroccan furnishings",128280,Elizabeth,,Charlestown,42.37833822,-71.06662682,Entire home/apt,221,2,92,9/3/17,0.91,3,195,25,1,3,0,1
31796,Big room with two bed/Room A,119019,Hermina,,Dorchester,42.29977341,-71.06047581,Private room,43,1,396,8/25/18,3.94,10,346,26,1,10,0,1
36885,A Cozy Corner of Boston,159160,Deborah,,Fenway,42.34633476,-71.08832312,Entire home/apt,165,4,145,9/10/18,1.46,1,1,27,1,1,0,1
40601,Private room & bath - Jamaica Plain,174986,Robert,,Jamaica Plain,42.31509939,-71.11107897,Private room,95,4,71,8/11/18,0.72,1,288,28,1,1,0,1
44205,Elegance at Salem Street Court,128280,Elizabeth,,Charlestown,42.37655111,-71.06676906,Entire home/apt,184,2,79,4/17/18,0.81,3,188,29,1,3,0,1
45987,Gorgeous Garden Studio Charlestown,205107,Atef,,Charlestown,42.37404333,-71.06117667,Entire home/apt,100,3,105,9/6/18,1.07,1,342,30,1,1,0,1
47521,Beautiful Victorian House /C,119019,Hermina,,Dorchester,42.29771972,-71.05924046,Private room,50,1,313,8/29/18,3.21,10,334,31,1,10,0,1
47722,[1356-1] Lovely 1BR Suites-1/2 Block to Pru Center,25188,Seamless,,Back Bay,42.34599132,-71.07985901,Private room,479,2,0,,,24,361,32,1,24,1,1
47725,[1356-S] Half-Block to Pru Center,25188,Seamless,,Back Bay,42.34594764,-71.08194282,Entire home/apt,279,2,0,,,24,80,33,1,24,1,1
50032,Amazing Design & Detail Throughout!,228845,Jeremy,,Jamaica Plain,42.31591116,-71.11275691,Entire home/apt,700,3,18,12/9/17,0.22,2,300,34,1,2,0,1
54487,[1246-1C]Beautiful 1BRs - Fenway Area,25188,Seamless,,Fenway,42.3434712,-71.10038331,Entire home/apt,219,4,1,10/16/10,0.01,24,90,35,1,24,1,1
57156,3 Room Cottage in Boston,271947,Bill,,Dorchester,42.31004204,-71.0494183,Entire home/apt,105,5,42,9/3/18,0.46,1,251,36,1,1,0,1
60029,Room in geographical heart of Hub,255183,Michelle,,Roxbury,42.32584185,-71.0892685,Private room,70,2,128,9/1/18,1.36,5,42,37,1,5,0,1
60356,Bookcase 1bd facing Boston Common,26988,Anne,,Downtown,42.35711748,-71.06179966,Entire home/apt,175,7,13,8/13/18,0.22,11,71,38,1,11,1,1
66288,Architects Live-in Studio in Boston,324630,Sean,,Mission Hill,42.33215158,-71.10674178,Entire home/apt,79,1,590,8/28/18,6.32,3,28,39,1,3,0,1
67774,Corner 1 bed facing Golden Dome,26988,Anne,,Beacon Hill,42.35866925,-71.06331527,Entire home/apt,110,14,40,8/31/18,0.56,11,24,40,1,11,1,1
69369,Room in Boston off the beaten path,255183,Michelle,,Roxbury,42.32614221,-71.08840448,Private room,78,2,98,9/3/18,1.1,5,351,41,1,5,0,1
77681,Waterfall Room: Bunker Hill B&B,416912,Christiane,,Charlestown,42.37853325,-71.06176887,Private room,140,2,34,8/27/18,0.4,2,347,42,1,2,0,1
77691,Beautiful Victorian House /Room B,119019,Hermina,,Dorchester,42.29770901,-71.05979096,Private room,65,1,271,8/26/18,2.96,10,353,43,1,10,0,1
82637,Nautical Room: Bunker Hill B&B,416912,Christiane,,Charlestown,42.3783338,-71.06181846,Private room,175,2,21,7/16/17,0.25,2,364,44,1,2,0,1
91588,Sunny Private Bedroom. 7 minute walk to Redline T.,494453,Dave,,Dorchester,42.31357973,-71.04696815,Private room,68,1,106,9/7/18,1.19,1,299,45,1,1,0,1
95453,Royal Street Studio: by Spare Suite,508268,Richard,,Allston,42.35937208,-71.13155989,Entire home/apt,175,5,29,8/13/18,0.32,1,324,46,1,1,0,1
115936,"Sunny, Spacious and Affordable",228845,Jeremy,,Jamaica Plain,42.31557614,-71.11305745,Entire home/apt,550,3,13,7/20/18,0.16,2,106,47,1,2,0,1
118905,Lotus (Luxury apartment),434539,Brahma,,East Boston,42.37932676,-71.03376094,Entire home/apt,325,7,23,3/29/18,0.26,2,256,48,1,2,0,1
